voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K]
0.0,0.0,0.0,60,80,90,30,0.30299999999999994,305.42999999999995,302.7,273.5334057902536,274.52234592334923,354.84999999999997
51.5,0.765,39.5,60,40,90,30,0.35299999999999987,314.63,303.42499999999995,273.4363564212655,274.00391256382994,322.60999999999996
52.6,0.781,41.2,60,40,90,90,0.34299999999999986,315.54999999999995,303.04999999999995,273.44154759474225,273.82330032922414,353.92999999999995
52.4,0.776,40.7,60,40,90,60,0.47299999999999986,326.89,303.95,273.4107680962081,274.2239335795724,349.57
74.1,1.086,80.7,60,80,90,90,0.7829999999999999,410.45,307.45,374.7815157812772,274.23627804912,354.48999999999995
74.2,1.087,80.8,60,80,90,90,1.303,365.19,333.5,275.06389654892837,286.606473039644,354.48999999999995
72.5,1.072,78.1,60,80,90,0,0.6529999999999999,339.87,301.15,273.5647288270665,274.23627804912,347.77
64.2,0.947,60.8,60,60,90,60,0.7129999999999999,348.72999999999996,317.97499999999997,273.9128892449104,280.04607376217314,331.63
90.0,1.321,119.0,60,120,90,0,1.903,370.06999999999994,364.54999999999995,273.91941536246685,281.46985576798056,0.0
64.2,0.945,60.7,60,60,90,30,0.6829999999999998,350.68999999999994,312.45,274.92566888805317,276.94385468004947,349.99
90.8,1.326,120.4,60,120,90,90,1.383,377.63,347.34999999999997,278.37273874514125,284.8851324378267,349.03
82.7,1.209,100.1,60,100,90,90,1.293,375.10999999999996,339.875,275.60418010749004,290.5990448640224,363.90999999999997
72.7,1.068,77.8,60,80,90,60,0.9629999999999999,358.92999999999995,325.84999999999997,274.5507141035914,287.080541985149,341.54999999999995
63.2,0.934,59.1,60,60,90,90,0.573,339.10999999999996,304.025,273.5347076812334,274.20316981853193,306.53
89.6,1.318,117.9,60,120,90,0,1.293,361.30999999999995,333.92499999999995,274.21677082824755,281.4403055834309,0.0
0.0,0.0,0.0,60,100,90,90,0.33299999999999985,308.90999999999997,305.22499999999997,273.4201851217221,274.8080611166862,363.90999999999997
71.7,1.056,75.9,60,80,90,0,1.4129999999999998,363.10999999999996,344.34999999999997,274.0234987120769,285.9072201778705,347.77
64.3,0.948,61.0,60,60,90,60,0.7229999999999999,349.28999999999996,321.25,273.500713558335,283.74654031590813,331.63
82.5,1.21,99.9,60,100,90,60,1.153,361.53,337.875,275.40986725273854,292.6559606274595,339.42999999999995
82.9,1.217,101.0,60,100,90,30,1.283,361.39,335.0,274.52949266036467,296.6299914821109,329.90999999999997
51.9,0.772,40.1,60,40,90,0,0.4829999999999999,332.63,305.75,273.38874672772624,274.42279220613574,340.30999999999995
82.9,1.215,100.8,60,100,90,30,1.513,365.75,345.525,273.79807406984077,290.0183875933653,329.90999999999997
